activate,"However, exaggerated, excessive synthesis of IL-6 while fighting environmental stress leads to an acute severe systemic inflammatory response known as 'cytokine storm', since high levels of IL-6 can activate the coagulation pathway and vascular endothelial cells but inhibit myocardial function.","<IL-6, activate, coagulation pathway and vascular endothelial cells>, <IL-6, inhibit, myocardial function>",1,2016,Immunotherapy,Osaka University,10.2217/imt-2016-0020,,
activate,"2-AG or AEA activate NPR-19 directly and cannabinoid-dependent inhibition can be rescued in npr-19-null animals by the expression of a human cannabinoid receptor, CB1, highlighting the orthology of the receptors.","<2-AG or AEA, activate, NPR-19>",1,2017,J Neurosci,Toledo University,10.1523/JNEUROSCI.3151-16.2017,,
activate,We report that distinct guanine exchange factors (GEFs) activate Rho1 in these two cellular compartments.,"<GEFs, activate, Rho1>",1,2019,Curr Biol,Aix Marseille Université,10.1016/j.cub.2019.08.017,,
activate,The mechanism through which oncogenic Ras activates its effectors is vastly important to resolve.,"<oncogenic Ras, activates, effectors>",1,2019,Front Oncol,Tel Aviv University,10.3389/fonc.2019.01231,,
activate,"PRRs activate downstream signaling cascades that culminate in generation of the innate immune response, called PAMP-triggered immunity (PTI).","<PRRs, activate, signaling cascades>",1,2018,Postepy Biochem,Uniwersytet Mikołaja Kopernika w Toruniu,10.18388/pb.2018_103,,
activate,"While some Wnts are deemed 'non-canonical' due to their limited ability to activate β-catenin when expressed alone, unexpectedly, we find that multiple Wnt combinations can synergistically activate β-catenin signaling in multiple cell types.","<Wnt combinations, activate, β-catenin signaling>",1,2017,J Cell Sci,Duke-NUS Medical School,10.1242/jcs.198093,,
activate,"These results demonstrate that miR-221/222 activate the Wnt/β-catenin signaling to promote the aggressiveness and TNBC properties of breast cancers, and thus reveal a new prospect for TNBC treatment.","<miR-221/222, activate, Wnt/β-catenin signaling>",1,2018,J Mol Cell Biol,ShanghaiTech University,10.1093/jmcb/mjy041,,
activate,We found that Listeria infection activated the NLRP1B inflammasome in a reconstituted fibroblast model.,"<Listeria infection, activated, NLRP1B inflammasome>",1,2017,Infect Immune,University of Toronto,10.1128/IAI.00338-17,,
activate,"Functionally, these densely packed glycoprotein-NAb complexes on infected cells activate Fcγ receptors, inducing a strong, antibody-dependent, cell-mediated cytotoxicity response from immune effector cells.","<glycoprotein-NAb complexes, activate, Fcγ receptors>",1,2018,Cell Host Microbe,"University of California, San Francisco",10.1016/j.chom.2018.07.018,,
activate,"SCFAs can directly activate G-coupled-receptors, inhibit histone deacetylases, and serve as energy substrates.","<SCFAs, activate, G-coupled-receptors>",1,2016,Cell,University of Copenhagen,10.1016/j.cell.2016.05.041,,
